id,full_name,last_name
203471,Dennis Schroder,Schroder
78091,Howie Schultz,Schultz
78092,Dick Schulz,Schulz
78093,John Schweitz,Schweitz
2449,Luis Scola,Scola
78094,Freddie Scolari,Scolari
78095,Alvin Scott,Scott
1064,Brent Scott,Scott
2,Byron Scott,Scott
78097,Charlie Scott,Scott
192,Dennis Scott,Scott
1109,James Scott,Scott
203118,Mike Scott,Scott
78100,Ray Scott,Scott
1035,Shawnelle Scott,Scott
1630286,Trevon Scott,Scott
1630206,Jay Scrubb,Scrubb
78102,Carey Scurry,Scurry
1631220,Dereon Seabron,Seabron
78103,Bruce Seals,Seals
1578,Shea Seals,Seals
907,Malik Sealy,Sealy
78105,Ed Searcy,Searcy
78106,Ken Sears,Sears
78107,Wayne See,See
200757,Thabo Sefolosha,Sefolosha
938,Rony Seikaly,Seikaly
78109,Glen Selbo,Selbo
202729,Josh Selby,Selby
1627782,Wayne Selden,Selden
78110,Brad Sellers,Sellers
78111,Phil Sellers,Sellers
78112,Rollie Seltz,Seltz
78113,Frank Selvy,Selvy
78114,Jim Seminoff,Seminoff
200754,Mouhamed Sene,Sene
78115,George Senesky,Senesky
1630578,Alperen Sengun,Sengun
202338,Kevin Seraphin,Seraphin
1738,Ansu Sesay,Sesay
201196,Ramon Sessions,Sessions
78116,Tom Sewell,Sewell
1629012,Collin Sexton,Sexton
78117,Paul Seymour,Seymour
78118,Nick Shaback,Shaback
1593,Charles Shackleford,Shackleford
78120,Carl Shaeffer,Shaeffer
78121,Lee Shaffer,Shaffer
201203,Mustafa Shakur,Shakur
1629013,Landry Shamet,Shamet
1539,God Shammgod,Shammgod
78123,Earl Shannon,Shannon
78124,Howie Shannon,Shannon
78125,Charlie Share,Share
78126,Bill Sharman,Sharman
1630549,Day'Ron Sharpe,Sharpe
1631101,Shaedon Sharpe,Sharpe
201594,Walter Sharpe,Sharpe
1117,John Shasky,Shasky
78128,Ron Shavlik,Shavlik
216,Brian Shaw,Shaw
1745,Casey Shaw,Shaw
1629621,Marial Shayok,Shayok
78130,Bob Shea,Shea
78131,Fred Sheffield,Sheffield
78132,Craig Shelton,Shelton
78133,Lonnie Shelton,Shelton
203129,Tornike Shengelia,Shengelia
1852,Jeff Sheppard,Sheppard
78135,Steve Sheppard,Sheppard
78136,Edmund Sherod,Sherod
78653,Charlie Shipp,Shipp
2321,Paul Shirley,Shirley
78138,Gene Short,Short
78139,Purvis Short,Short
78140,Dexter Shouse,Shouse
78141,Dick Shrider,Shrider
78142,Gene Shue,Shue
78143,John Shumate,Shumate
202697,Iman Shumpert,Shumpert
203144,Alexey Shved,Shved
1627783,Pascal Siakam,Siakam
1626296,Jordan Sibert,Sibert
78144,Sam Sibert,Sibert
78145,Mark Sibley,Sibley
78146,Jerry Sichting,Sichting
78147,Larry Siegfried,Siegfried
78148,Ralph Siewert,Siewert
78149,Jack Sikma,Sikma
78150,James Silas,Silas
78151,Paul Silas,Silas
202918,Xavier Silas,Silas
202081,Garret Siler,Siler
78152,Mike Silliman,Silliman
1629735,Chris Silva,Silva
101134,Wayne Simien,Simien
1627732,Ben Simmons,Simmons
2250,Bobby Simmons,Simmons
200759,Cedric Simmons,Simmons
78153,Connie Simmons,Simmons
78154,Johnny Simmons,Simmons
203613,Jonathon Simmons,Simmons
1628424,Kobi Simmons,Simmons
1489,Lionel Simmons,Simmons
1750,Miles Simon,Simon
1630250,Marko Simonovic,Simonovic
1629014,Anfernee Simons,Simons
54,Dickey Simpkins,Simpkins
202067,Diamon Simpson,Simpson
78157,Ralph Simpson,Simpson
1630285,Zavier Simpson,Simpson
1591,Alvin Sims,Sims
78160,Bob Sims,Sims
201235,Courtney Sims,Sims
78159,Doug Sims,Sims
203156,Henry Sims,Sims
1630579,Jericho Sims,Sims
78161,Scott Sims,Sims
202713,Kyle Singler,Singler
201606,Sean Singletary,Singletary
202698,Chris Singleton,Singleton
101189,James Singleton,Singleton
78162,Mckinley Singleton,Singleton
78163,Zeke Sinicola,Sinicola
1629686,Deividas Sirvydis,Sirvydis
78164,Charlie Sitton,Sitton
203491,Peyton Siva,Siva
101,Scott Skiles,Skiles
78167,Al Skinner,Skinner
1730,Brian Skinner,Skinner
78168,Talvin Skinner,Skinner
78169,Whitey Skoog,Skoog
78170,Jeff Slade,Slade
1073,Reggie Slater,Slater
78171,Jim Slaughter,Slaughter
78172,Jose Slaughter,Slaughter
2447,Tamar Slay,Slay
202388,Donald Sloan,Sloan
78173,Jerry Sloan,Sloan
101166,Uros Slokar,Slokar
78174,Tom Sluby,Sluby
1629346,Alen Smailagic,Smailagic
1630606,Javonte Smart,Smart
78175,Keith Smart,Smart
203935,Marcus Smart,Smart
78176,Belus Smawley,Smawley
78177,Jack Smiley,Smiley
78178,Adrian Smith,Smith
78207,Bill Smith,Smith
78209,Bill Smith,Smith
78202,Bingo Smith,Smith
78203,Bobby Smith,Smith
293,Charles Smith,Smith
1520,Charles Smith,Smith
78179,Charles Smith,Smith
1814,Chris Smith,Smith
203147,Chris Smith,Smith
78181,Clinton Smith,Smith
200783,Craig Smith,Smith
78182,Deb Smith,Smith
78183,Derek Smith,Smith
78184,Don Smith,Smith
78185,Donald Smith,Smith
2764,Donta Smith,Smith
475,Doug Smith,Smith
1630696,Dru Smith,Smith
78187,Ed Smith,Smith
78188,Elmore Smith,Smith
78189,Garfield Smith,Smith
78190,Greg Smith,Smith
202962,Greg Smith,Smith
202397,Ish Smith,Smith
2747,JR Smith,Smith
2074,Jabari Smith,Smith
1630188,Jalen Smith,Smith
201160,Jason Smith,Smith
202536,Jerry Smith,Smith
78191,Jim Smith,Smith
693,Joe Smith,Smith
2746,Josh Smith,Smith
78192,Keith Smith,Smith
181,Kenny Smith,Smith
78194,Labradford Smith,Smith
78195,Larry Smith,Smith
1910,Leon Smith,Smith
63,Michael Smith,Smith
78197,Michael Smith,Smith
2065,Mike Smith,Smith
202701,Nolan Smith,Smith
78198,Otis Smith,Smith
78199,Phil Smith,Smith
78200,Randy Smith,Smith
78201,Reggie Smith,Smith
78204,Robert Smith,Smith
203893,Russ Smith,Smith
78205,Sammy Smith,Smith
120,Steven Smith,Smith
200848,Steven Smith,Smith
1478,Stevin Smith,Smith
2604,Theron Smith,Smith
380,Tony Smith,Smith
78208,Willie Smith,Smith
