SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,PLAYOFFS,JOKIC_PTS,JOKIC_REB,JOKIC_AST,MURRAY_PTS,MURRAY_REB,MURRAY_AST,JOKIC_MURRAY_STARTERS,REST_PTS,REST_REB,REST_AST
22022,1610612743,DEN,Denver Nuggets,0022200557,2023-01-02,DEN @ MIN,L,238,111,42,91,0.462,11,29,0.379,16,20,0.8,18,27,45,27,8,1,14,21,-13.0,0,24,7,9,14,3,4,1,73,35,14
22022,1610612743,DEN,Denver Nuggets,0022200579,2023-01-05,DEN vs. LAC,W,240,122,45,89,0.506,14,36,0.389,18,21,0.857,10,47,57,28,6,5,11,16,31.0,0,12,6,9,18,4,1,1,92,47,18
22022,1610612743,DEN,Denver Nuggets,0022200588,2023-01-06,DEN vs. CLE,W,239,121,43,81,0.531,17,35,0.486,18,23,0.783,13,36,49,28,5,4,12,23,13.0,0,28,15,10,18,4,2,1,75,30,16
22022,1610612743,DEN,Denver Nuggets,0022200609,2023-01-09,DEN vs. LAL,W,242,122,46,99,0.465,15,42,0.357,15,17,0.882,14,41,55,29,7,11,17,19,13.0,0,14,11,16,34,7,4,1,74,37,9
22022,1610612743,DEN,Denver Nuggets,0022200624,2023-01-11,DEN vs. PHX,W,241,126,48,85,0.565,15,34,0.441,15,21,0.714,7,31,38,30,9,4,10,20,29.0,0,21,18,9,16,2,6,1,89,18,15
22022,1610612743,DEN,Denver Nuggets,0022200653,2023-01-15,DEN vs. ORL,W,240,119,48,89,0.539,13,39,0.333,10,19,0.526,12,29,41,32,10,5,15,22,3.0,0,17,10,14,18,4,7,1,84,27,11
22022,1610612743,DEN,Denver Nuggets,0022200667,2023-01-17,DEN vs. POR,W,240,122,44,88,0.5,11,32,0.344,23,28,0.821,11,31,42,32,8,6,11,15,9.0,0,36,12,10,17,5,7,1,69,25,15
22022,1610612743,DEN,Denver Nuggets,0022200676,2023-01-18,DEN vs. MIN,W,240,122,45,85,0.529,8,21,0.381,24,32,0.75,8,26,34,27,10,2,14,19,4.0,0,31,11,13,28,2,4,1,63,21,10
22022,1610612743,DEN,Denver Nuggets,0022200716,2023-01-24,DEN @ NOP,W,240,99,39,80,0.488,11,33,0.333,10,13,0.769,7,27,34,27,8,5,12,20,1.0,0,25,11,10,25,1,7,1,49,22,10
22022,1610612743,DEN,Denver Nuggets,0022200741,2023-01-28,DEN @ PHI,L,241,119,44,81,0.543,14,34,0.412,17,20,0.85,6,30,36,28,6,6,14,14,-7.0,0,24,8,9,22,4,6,1,73,24,13
22022,1610612743,DEN,Denver Nuggets,0022200768,2023-01-31,DEN vs. NOP,W,240,122,43,87,0.494,16,36,0.444,20,24,0.833,10,34,44,33,7,3,18,21,9.0,0,26,18,15,32,5,6,1,64,21,12
22022,1610612743,DEN,Denver Nuggets,0022200783,2023-02-02,DEN vs. GSW,W,238,134,51,90,0.567,16,35,0.457,16,21,0.762,7,31,38,35,10,2,11,19,17.0,0,22,14,16,33,5,8,1,79,19,11
22022,1610612743,DEN,Denver Nuggets,0022200801,2023-02-04,DEN vs. ATL,W,240,128,48,95,0.505,15,38,0.395,17,20,0.85,12,36,48,32,14,6,12,15,20.0,0,14,18,10,41,5,7,1,73,25,15
22022,1610612743,DEN,Denver Nuggets,0022200886,2023-02-23,DEN @ CLE,W,240,115,39,84,0.464,17,36,0.472,20,23,0.87,18,29,47,30,7,4,16,20,6.0,0,24,18,13,16,1,9,1,75,28,8
22022,1610612743,DEN,Denver Nuggets,0022200907,2023-02-25,DEN @ MEM,L,240,94,36,89,0.404,11,37,0.297,11,14,0.786,11,37,48,22,4,4,15,13,-18.0,0,15,13,3,8,3,4,1,71,32,15
22022,1610612743,DEN,Denver Nuggets,0022200918,2023-02-26,DEN vs. LAC,W,266,134,49,96,0.51,13,39,0.333,23,31,0.742,11,39,50,35,10,3,14,23,10.0,0,40,17,10,21,5,12,1,73,28,13
22022,1610612743,DEN,Denver Nuggets,0022200926,2023-02-28,DEN @ HOU,W,240,133,53,92,0.576,16,37,0.432,11,16,0.688,11,32,43,40,8,5,11,10,21.0,0,14,11,10,32,4,6,1,87,28,24
22022,1610612743,DEN,Denver Nuggets,0022200952,2023-03-03,DEN vs. MEM,W,240,113,40,87,0.46,8,31,0.258,25,31,0.806,13,40,53,28,6,5,8,21,16.0,0,18,18,10,22,5,9,1,73,30,9
22022,1610612743,DEN,Denver Nuggets,0022200975,2023-03-06,DEN vs. TOR,W,240,118,43,86,0.5,13,33,0.394,19,23,0.826,12,29,41,30,9,2,13,12,5.0,0,17,13,9,24,1,5,1,77,27,16
22022,1610612743,DEN,Denver Nuggets,0022200989,2023-03-08,DEN vs. CHI,L,241,96,37,88,0.42,15,40,0.375,7,15,0.467,11,33,44,26,5,2,11,16,-21.0,0,18,12,8,11,2,5,1,67,30,13
22022,1610612743,DEN,Denver Nuggets,0022201002,2023-03-10,DEN @ SAS,L,240,120,44,90,0.489,13,35,0.371,19,20,0.95,8,25,33,32,14,4,14,14,-8.0,0,37,11,11,24,6,7,1,59,16,14
22022,1610612743,DEN,Denver Nuggets,0022201014,2023-03-12,DEN vs. BKN,L,240,120,45,90,0.5,12,31,0.387,18,24,0.75,15,34,49,27,4,8,15,19,-2.0,0,35,20,11,16,3,1,1,69,26,15
22022,1610612743,DEN,Denver Nuggets,0022201029,2023-03-14,DEN @ TOR,L,239,110,42,76,0.553,6,25,0.24,20,25,0.8,4,28,32,29,9,4,14,17,-15.0,0,28,8,7,14,2,9,1,68,22,13
22022,1610612743,DEN,Denver Nuggets,0022201042,2023-03-16,DEN @ DET,W,239,119,47,89,0.528,8,24,0.333,17,25,0.68,13,34,47,29,9,7,9,15,19.0,0,30,10,9,19,6,10,1,70,31,10
22022,1610612743,DEN,Denver Nuggets,0022201055,2023-03-18,DEN @ NYK,L,240,110,43,84,0.512,12,33,0.364,12,15,0.8,6,27,33,30,3,2,13,21,-6.0,0,24,10,8,25,4,6,1,61,19,16
