WIN,JOKIC_PTS,JOKIC_REB,JOKIC_AST,MURRAY_PTS,MURRAY_REB,MURRAY_AST,REST_PTS,REST_REB,REST_AST,PLAYOFFS
1,33,10,9,21,5,8,67,33,11,0
1,31,12,14,30,4,5,54,23,9,0
1,43,14,8,5,4,6,93,27,17,0
0,25,11,8,23,5,6,60,23,11,0
1,40,27,10,6,1,11,73,27,12,0
1,29,8,11,25,8,12,66,22,8,0
1,41,15,15,26,5,5,61,28,9,0
1,20,9,11,25,5,7,68,26,16,0
1,19,12,12,14,2,6,91,22,16,0
0,24,7,9,14,3,4,73,35,14,0
1,12,6,9,18,4,1,92,47,18,0
1,28,15,10,18,4,2,75,30,16,0
1,14,11,16,34,7,4,74,37,9,0
1,21,18,9,16,2,6,89,18,15,0
1,17,10,14,18,4,7,84,27,11,0
1,36,12,10,17,5,7,69,25,15,0
1,31,11,13,28,2,4,63,21,10,0
1,25,11,10,25,1,7,49,22,10,0
0,24,8,9,22,4,6,73,24,13,0
1,26,18,15,32,5,6,64,21,12,0
1,22,14,16,33,5,8,79,19,11,0
1,14,18,10,41,5,7,73,25,15,0
1,24,18,13,16,1,9,75,28,8,0
0,15,13,3,8,3,4,71,32,15,0
1,40,17,10,21,5,12,73,28,13,0
1,14,11,10,32,4,6,87,28,24,0
1,18,18,10,22,5,9,73,30,9,0
1,17,13,9,24,1,5,77,27,16,0
0,18,12,8,11,2,5,67,30,13,0
0,37,11,11,24,6,7,59,16,14,0
0,35,20,11,16,3,1,69,26,15,0
0,28,8,7,14,2,9,68,22,13,0
1,30,10,9,19,6,10,70,31,10,0
0,24,10,8,25,4,6,61,19,16,0
1,22,17,10,25,1,8,61,22,13,0
1,31,12,7,17,6,8,70,23,13,0
1,31,6,11,26,6,9,72,36,8,0
1,25,17,12,19,5,7,72,20,15,0
0,14,10,4,2,0,4,87,37,18,0
0,6,10,10,20,4,5,88,27,17,0
1,13,14,6,24,8,8,72,32,10,1
1,27,9,9,40,3,5,55,24,12,1
1,20,11,12,18,6,9,82,23,11,1
0,43,11,6,19,7,5,46,29,10,1
1,28,17,12,35,4,5,49,26,5,1
1,24,19,5,34,5,9,67,25,8,1
1,39,16,5,10,4,8,48,21,6,1
0,30,17,17,32,6,5,52,28,5,1
0,53,4,11,28,5,7,43,23,10,1
1,29,13,12,19,5,6,70,32,14,1
1,32,10,12,26,4,4,67,27,8,1
1,34,21,14,31,5,5,67,21,10,1
1,23,17,12,37,10,5,48,22,10,1
1,24,6,8,37,7,6,58,26,16,1
1,30,14,13,25,3,5,58,23,7,1
1,27,10,14,26,6,10,51,29,5,1
0,41,11,4,18,4,10,49,23,9,1
1,32,21,10,34,10,10,43,27,8,1
1,23,12,4,15,3,12,70,19,10,1
1,28,16,4,14,8,8,52,33,9,1
